Tag MAC,Frequency,Polynomial,Inverse,Required Power @15mV (dBm),Required Power @40mV (dBm)
58_E6_C5_01_12_50,865,"[0.5099174832898774, 0.5060189239493398, -38.78227493298691]","[-0.002956999631116091, 0.05081005674642001, 7.81663151555476]",-33.67245211871796,-29.976760864773304
58_E6_C5_01_12_50,875,"[0.44437184251372036, 0.9900282561392351, -39.399183749195096]","[-0.0028209234028526973, 0.06237427839154644, 7.983467592490625]",-33.45932067472971,-29.700151643431496
58_E6_C5_01_12_50,885,"[0.3772848268759152, 1.5370633568724532, -40.01148545388626]","[-0.0026088986203423883, 0.07713088144405748, 8.128597817180191]",-33.08220890191651,-29.207415617504836
58_E6_C5_01_12_50,895,"[0.32388681544226583, 2.016430386589392, -40.46320830161315]","[-0.0023667055163699587, 0.09138064630441566, 8.21106737380916]",-32.6273780018102,-28.617442427134147
58_E6_C5_01_12_50,905,"[0.2861807956535032, 2.3965441270469263, -40.73847547939038]","[-0.002140958471816258, 0.102874221244962, 8.223846243283921]",-32.149796537753346,-28.00361300612039
58_E6_C5_01_12_50,915,"[0.26204789469719325, 2.6684068566303902, -40.80601534580804]","[-0.0019777617926214244, 0.11057639820219231, 8.182434864520319]",-31.658097979984003,-27.39668048792242
58_E6_C5_01_12_50,925,"[0.24669620049982355, 2.8688393028995787, -40.80101335564702]","[-0.001856136926328221, 0.11558874000369335, 8.116048093128573]",-31.222897063790953,-26.86121063460795
58_E6_C5_01_12_50,935,"[0.23484590469281785, 3.043502539718309, -40.848612992183895]","[-0.0017391106120850015, 0.11960995937031621, 8.050048056380058]",-30.88440445636352,-26.425755475526863
58_E6_C5_01_12_50,945,"[0.227382051382356, 3.1743805119817816, -40.854487746224095]","[-0.0016559998369476488, 0.1220514383493024, 7.980206316328952]",-30.59059152743835,-26.050404025825515
58_E6_C5_01_12_50,955,"[0.22274310332765554, 3.2769582925446104, -40.838857867263]","[-0.0015922655235866747, 0.12359387308591663, 7.910524618142745]",-30.3311957612543,-25.71950310375228
58_E6_C5_01_12_50,965,"[0.22330351022331152, 3.322943176302607, -40.70235472545413]","[-0.001576475796548828, 0.12347119172103843, 7.833789376036147]",-30.06605348165368,-25.40574134637003
58_E6_C5_01_12_50,975,"[0.22265064394684994, 3.37167992344696, -40.587308409349546]","[-0.0015554648860432653, 0.12373093179676112, 7.769851603468126]",-29.823813425914672,-25.11979513942932
58_E6_C5_01_12_50,985,"[0.22643515173686726, 3.373974725919962, -40.39711716331028]","[-0.00157109775695932, 0.12268257753575654, 7.703417396113925]",-29.599653915866426,-24.86963969889858
58_E6_C5_01_12_50,995,"[0.23418183566416953, 3.3221870619750558, -40.04951721565417]","[-0.0016398897121500619, 0.12025322722784132, 7.632910209679239]",-29.335486977348488,-24.607662630195207
98_A3_16_8F_15_44,705,"[0.2340172894972018, 3.5573099671538295, -36.03472220844027]","[-0.0018610706700477745, 0.11892489995397963, 6.767784622108256]",-24.685174044702777,-19.727766685410714
98_A3_16_8F_15_44,715,"[0.25421436646129614, 3.444907232708773, -36.54409571703942]","[-0.0019381393610875283, 0.11272069051419059, 6.797765674894382]",-25.35082381209689,-20.376941909005822
98_A3_16_8F_15_44,725,"[0.2660379722821277, 3.402688224691519, -37.18740816057947]","[-0.001914615033415061, 0.10991748663053545, 6.849243269398916]",-26.021758611132142,-21.015101546560093
98_A3_16_8F_15_44,735,"[0.2884505810228222, 3.2698186358758146, -37.64760535925372]","[-0.0019820801278135993, 0.10398001572924963, 6.873676861357804]",-26.677409655892845,-21.660451635428316
98_A3_16_8F_15_44,745,"[0.30829524149239446, 3.1494729520718425, -38.13160545501065]","[-0.002015807575226282, 0.09937450934332447, 6.910444600390161]",-27.3417803750649,-22.31834965319641
98_A3_16_8F_15_44,755,"[0.3262080508468928, 3.024675644904805, -38.57699171253788]","[-0.0020426255786698566, 0.09549863959701534, 6.958407825117306]",-27.993759775040637,-22.980343639398598
98_A3_16_8F_15_44,765,"[0.34686201212765205, 2.8569189068071075, -38.91180256990111]","[-0.0020968823363956756, 0.09101645211665674, 7.007038793520837]",-28.63139773438757,-23.65293325368078
98_A3_16_8F_15_44,775,"[0.3691605073295298, 2.6521432009421955, -39.13698697991217]","[-0.002177712672941825, 0.08595422204070083, 7.056986490225124]",-29.247598220953307,-24.33007638951633
